avg_rate,loss_rate,out_of_order_rate,mean_inter_message_gap,median_inter_message_gap,qos,delay
743.8,92.5,0.0,0.4,0.0,0,0
744.1,93.0,0.0,0.4,0.0,0,10
743.3,93.1,0.0,0.4,0.0,0,20
740.4,93.0,0.0,0.4,0.0,0,50
744.7,92.9,0.0,0.4,0.0,0,100
8.2,92.6,0.0,120.2,0.0,0,500
100.3,39.6,25.8,7.8,0.0,1,0
32.0,91.5,12.7,7.4,0.0,1,10
32.1,99.9,31.4,16.3,0.0,1,20
16.0,2.1,0.0,61.7,0.0,1,50
9.1,1.8,0.0,108.6,1.1,1,100
2.0,3.2,0.0,497.4,509.9,1,500
0.8,99.1,0.0,16.3,0.0,2,0
13.9,100.0,15.6,38.4,0.0,2,10
24.6,2.0,0.0,39.8,0.0,2,20
23.2,1.8,0.0,42.4,0.0,2,50
24.3,1.7,0.0,40.4,0.0,2,100
7.7,5.6,0.0,127.2,0.0,2,500
